backend	case_id	model_ref	template_source
gguf	qwen25-gguf-exact	meshllm/qwen2.5-0.5b-instruct-parity-q8_0-gguf/qwen2.5-0.5b-instruct-q8_0.gguf	-
mlx	qwen25-mlx-exact	meshllm/qwen2.5-0.5b-instruct-parity-8bit-mlx	chat_template.jinja
gguf	qwen3-gguf-exact	meshllm/qwen3-0.6b-parity-q8_0-gguf/qwen3-0.6b-q8_0.gguf	-
mlx	qwen3-mlx-exact	meshllm/qwen3-0.6b-parity-8bit-mlx	chat_template.jinja
gguf	llama32-gguf-exact	llmware/llama-3.2-1b-gguf/Llama-3.2-1B-Instruct-Q4_K_M.gguf	-
mlx	llama32-mlx-exact	mlx-community/Llama-3.2-1B-Instruct-4bit	tokenizer_config.json
gguf	gemma2-gguf-exact	meshllm/gemma-2-2b-it-parity-q8_0-gguf/gemma-2-2b-it-q8_0.gguf	-
mlx	gemma2-mlx-exact	meshllm/gemma-2-2b-it-parity-8bit-mlx	chat_template.jinja
gguf	gemma3-gguf-exact	meshllm/gemma-3-1b-it-parity-f16-gguf/gemma-3-1b-it-f16.gguf	-
mlx	gemma3-mlx-exact	meshllm/gemma-3-1b-it-parity-bf16-mlx	tokenizer_config.json
gguf	gemma4-gguf-exact	meshllm/gemma-4-e4b-it-parity-q8_0-gguf/gemma-4-e4b-it-q8_0.gguf	-
mlx	gemma4-mlx-exact	meshllm/gemma-4-e4b-it-parity-8bit-mlx	chat_template.jinja
gguf	glm4-gguf-exact	lmstudio-community/GLM-4-9B-0414-GGUF/GLM-4-9B-0414-Q4_K_M.gguf	-
mlx	glm4-mlx-exact	mlx-community/GLM-4-9B-0414-4bit	tokenizer_config.json
gguf	lfm2-gguf-exact	LiquidAI/LFM2-350M-GGUF/LFM2-350M-Q4_K_M.gguf	-
mlx	lfm2-mlx-exact	mlx-community/LFM2-350M-4bit	chat_template.jinja
